"# ------------------------------------"
"Report: Top Domains"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_hl7zanq8"
"# ------------------------------------"
object_id,domain_name,count_plays,sum_time_viewed,avg_time_viewed,count_loads,load_play_ratio,avg_view_drop_off,avg_completion_rate
www.retinalatina.org,www.retinalatina.org,4309,185439.58333333,43.035410381372,7333,0.58761761898268,0.39881643072639,13.951961011836
retinalatina.org,retinalatina.org,420,11545.933333333,27.490317460317,769,0.54616384915475,0.2547619047619,0
Unknown,Unknown,24,512.55,21.35625,39,0.61538461538462,0.19791666666667,0.20833333333333
cdnapisec.kaltura.com,cdnapisec.kaltura.com,2,0,0,4,0.5,0,0
www.kaltura.com,www.kaltura.com,1,0,0,1,1,0,0
104.236.130.25,104.236.130.25,0,0,0,2,0,0,0
192.168.1.121,192.168.1.121,0,0,0,57,0,0,0
kmc.kaltura.com,kmc.kaltura.com,0,0,0,2,0,0,0
localhost,localhost,0,0,0,75,0,0,0
relax.test,relax.test,0,0,0,38,0,0,0
ret.lat,ret.lat,0,0,0,2,0,0,0
retinastag.wpengine.com,retinastag.wpengine.com,0,0,0,3,0,0,0

