"# ------------------------------------"
"Report: Publisher Bandwidth"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
id,bandwidth_consumption,average_storage,peak_storage,added_storage,deleted_storage,combined_bandwidth_storage,transcoding_consumption
20160101,0,0,0,0,0,0,0
20160102,0,0,0,0,0,0,0
20160103,0,0,0,0,0,0,0
20160104,0,0,0,0,0,0,0
20160105,0,0,0,0,0,0,0
20160106,0,0,0,0,0,0,0
20160107,0,0,0,0,0,0,0
20160108,0,0,0,0,0,0,0
20160109,0,0,0,0,0,0,0
20160110,2.5340738296509,0,0,0,0,2.5340738296509,0
20160111,0,86691.495711327,86691.495711327,86691.495711327,0,86691.495711327,0
20160112,0,86691.495711327,86691.495711327,0,0,86691.495711327,0
20160113,3.958568572998,86691.495711327,86691.495711327,0,0,86695.4542799,0
20160114,0.3965892791748,86691.495711327,86691.495711327,0,0,86691.892300606,0
20160115,1.1919384002686,86691.495711327,86691.495711327,0,0,86692.687649727,0
20160116,72.263591766357,86691.495711327,86691.495711327,0,0,86763.759303093,0
20160117,152.80026721954,86691.495711327,86691.495711327,0,0,86844.295978546,0
20160118,601.07510948181,86691.495711327,86691.495711327,0,0,87292.570820808,0
20160119,197.60928821564,86691.495711327,86691.495711327,0,0,86889.104999542,0
20160120,224.43081378937,86691.495711327,86691.495711327,0,0,86915.926525116,0
20160121,2183.3912191391,86691.495711327,86691.495711327,0,0,88874.886930466,0
20160122,251.28140544891,117835.85260105,117835.85260105,31144.356889725,0,118087.1340065,0
20160123,1386.7228689194,155526.00934505,155526.00934505,37690.156744003,0,156912.73221397,0
20160124,1044.292755127,155526.00934505,155526.00934505,0,0,156570.30210018,0
20160125,3023.555056572,162313.0626688,162313.0626688,6787.0533237457,0,165336.61772537,0
20160126,3097.6196432114,164511.14664078,164511.14664078,2198.0839719772,0,167608.76628399,0
20160127,667.85307312012,164512.18694305,164512.18694305,1.0403022766113,0,165180.04001617,0
20160128,831.74421215057,164512.18694305,164512.18694305,0,0,165343.9311552,0
20160129,653.13255596161,164512.18694305,164512.18694305,0,0,165165.31949902,0
20160130,84.275025367737,164512.18694305,164512.18694305,0,0,164596.46196842,0
