"# ------------------------------------"
"Report: Publisher Bandwidth"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
id,bandwidth_consumption,average_storage,peak_storage,added_storage,deleted_storage,combined_bandwidth_storage,transcoding_consumption
20200101,295390.84391785,1303010.7449532,1303010.7449532,0,0,1598401.588871,0
20200102,299657.63813496,1303010.7449532,1303010.7449532,0,0,1602668.3830881,0
20200103,195040.76932716,1303010.7449532,1303010.7449532,0,0,1498051.5142803,0
20200104,266281.47448635,1303010.7449532,1303010.7449532,0,0,1569292.2194395,0
20200105,315596.6384201,1303010.7449532,1303010.7449532,0,0,1618607.3833733,0
20200106,255918.27097416,1303010.7449532,1303010.7449532,0,0,1558929.0159273,0
20200107,260964.11108589,1303010.7449532,1303010.7449532,0,0,1563974.856039,0
20200108,195019.32814121,1303010.7449532,1303010.7449532,0,0,1498030.0730944,0
20200109,177267.82275963,1303010.7449532,1303010.7449532,0,0,1480278.5677128,0
20200110,182405.82882023,1303010.7449532,1303010.7449532,0,0,1485416.5737734,0
20200111,461923.63530254,1303010.7449532,1303010.7449532,0,0,1764934.3802557,0
20200112,374738.362216,1303010.7449532,1303010.7449532,0,0,1677749.1071692,0
20200113,352444.37340927,1303010.7449532,1303010.7449532,0,0,1655455.1183624,0
20200114,205198.94327927,1303010.7449532,1303010.7449532,0,0,1508209.6882324,0
20200115,181507.04391861,1303010.7449532,1303010.7449532,0,0,1484517.7888718,0
20200116,206031.28224754,1303010.7449532,1303010.7449532,0,0,1509042.0272007,0
20200117,119626.22408867,1303010.7449532,1303010.7449532,0,0,1422636.9690418,0
20200118,200662.69272709,1303010.7449532,1303010.7449532,0,0,1503673.4376802,0
20200119,308063.93943405,1303010.7449532,1303010.7449532,0,0,1611074.6843872,0
20200120,207283.89029408,1318149.1547489,1318149.1547489,15138.409795761,0,1525433.045043,15138.409795761
20200121,195341.67580032,1318149.1547489,1318149.1547489,0,0,1513490.8305492,0
20200122,213967.34746075,1318149.1547489,1318149.1547489,0,0,1532116.5022097,0
20200123,214445.28922081,1318149.1547489,1318149.1547489,0,0,1532594.4439697,0
20200124,224774.71741867,1318149.1547489,1318149.1547489,0,0,1542923.8721676,0
20200125,275144.99199581,1318149.1547489,1318149.1547489,0,0,1593294.1467447,0
20200126,425618.37593269,1318149.1547489,1318149.1547489,0,0,1743767.5306816,0
20200127,249752.61709118,1318149.1547489,1318149.1547489,0,0,1567901.7718401,0
20200128,210626.78165817,1319833.9665546,1319833.9665546,1684.8118057251,0,1530460.7482128,1684.8118057251
20200129,210430.92434692,1319833.9665546,1319833.9665546,0,0,1530264.8909016,0
20200130,200091.55286312,1319833.9665546,1319833.9665546,0,0,1519925.5194178,0
20200131,194272.92979336,1319833.9665546,1319833.9665546,0,0,1514106.896348,0
