"# ------------------------------------"
"Report: End user"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
id,added_storage_mb,deleted_storage_mb,added_entries,deleted_entries,added_msecs,deleted_msecs,total_entries,total_storage_mb,total_msecs
20160101,0,0,0,0,0,0,5,0,0
20160102,0,0,0,0,0,0,5,0,0
20160103,0,0,0,0,0,0,5,0,0
20160104,0,0,0,0,0,0,5,0,0
20160105,0,0,0,0,0,0,5,0,0
20160106,0,0,0,0,0,0,5,0,0
20160107,0,0,0,0,0,0,5,0,0
20160108,0,0,0,0,0,0,5,0,0
20160109,0,0,0,0,0,0,5,0,0
20160110,0,0,0,0,0,0,5,0,0
20160111,86691.495711327,0,20,0,72477000,0,25,86691.495711327,72477000
20160112,0,0,0,0,0,0,25,86691.495711327,72477000
20160113,0,0,0,0,0,0,25,86691.495711327,72477000
20160114,0,0,0,0,0,0,25,86691.495711327,72477000
20160115,0,0,0,0,0,0,25,86691.495711327,72477000
20160116,0,0,0,0,0,0,25,86691.495711327,72477000
20160117,0,0,0,0,0,0,25,86691.495711327,72477000
20160118,0,0,0,0,0,0,25,86691.495711327,72477000
20160119,0,0,0,0,0,0,25,86691.495711327,72477000
20160120,0,0,0,0,0,0,25,86691.495711327,72477000
20160121,0,0,0,0,0,0,25,86691.495711327,72477000
20160122,31144.356889725,0,4,0,25299000,0,29,117835.85260105,97776000
20160123,37690.156744003,0,9,0,30570000,0,38,155526.00934505,128346000
20160124,0,0,0,0,0,0,38,155526.00934505,128346000
20160125,6787.0533237457,0,2,0,5576000,0,40,162313.0626688,133922000
20160126,2198.0839719772,0,3,0,1911000,0,43,164511.14664078,135833000
20160127,1.0403022766113,0,0,0,0,0,43,164512.18694305,135833000
20160128,0,0,0,0,0,0,43,164512.18694305,135833000
20160129,0,0,0,0,0,0,43,164512.18694305,135833000
20160130,0,0,0,0,0,0,43,164512.18694305,135833000
20160131,0,0,0,0,0,0,43,164512.18694305,135833000
20160201,0,0,0,0,0,0,43,164512.18694305,135833000
20160202,0,0,0,0,0,0,43,164512.18694305,135833000
20160203,0,0,0,0,0,0,43,164512.18694305,135833000
20160204,0,0,0,0,0,0,43,164512.18694305,135833000
20160205,0,0,0,0,0,0,43,164512.18694305,135833000
20160206,0,0,0,0,0,0,43,164512.18694305,135833000
20160207,0,0,0,0,0,0,43,164512.18694305,135833000
20160208,0,0,0,0,0,0,43,164512.18694305,135833000
20160209,8391.4028053284,0,3,0,7277000,0,46,172903.58974838,143110000
20160210,0,0,0,0,0,0,46,172903.58974838,143110000
20160211,0,0,0,0,0,0,46,172903.58974838,143110000
20160212,0,0,0,0,0,0,46,172903.58974838,143110000
20160213,0,0,0,0,0,0,46,172903.58974838,143110000
20160214,0,0,0,0,0,0,46,172903.58974838,143110000
20160215,0,0,0,0,0,0,46,172903.58974838,143110000
20160216,2060.441737175,0,1,0,1685000,0,47,174964.03148556,144795000
20160217,0,0,0,0,0,0,47,174964.03148556,144795000
20160218,0,0,0,0,0,0,47,174964.03148556,144795000
20160219,15189.55843544,0,4,0,12606000,0,51,190153.589921,157401000
20160220,0,0,0,0,0,0,51,190153.589921,157401000
20160221,0,0,0,0,0,0,51,190153.589921,157401000
20160222,16195.073186874,0,4,0,13568000,0,55,206348.66310787,170969000
20160223,13401.734706879,0,3,0,11340000,0,58,219750.39781475,182309000
20160224,5147.7227535248,0,3,0,4276000,0,61,224898.12056828,186585000
20160225,1088.1799402237,0,1,0,1004000,0,62,225986.3005085,187589000
20160226,0,0,0,0,0,0,62,225986.3005085,187589000
