"# ------------------------------------"
"Report: Top Videos"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-03-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
object_id,entry_name,creator_name,created_at,status,media_type,duration_msecs,entry_source,count_plays,sum_time_viewed,avg_time_viewed,count_loads,load_play_ratio,avg_view_drop_off,unique_known_users,engagement_ranking,avg_completion_rate
0_tplelfy7,Pizarro,"Bryan Giles",1516745143,2,1,4910426,Url,17636,679878.11666667,38.550584977697,28953,0.6091251338376,0.4711244046269,3,7.5607048850593,27.446529825357
0_3cycy7as,"Días de Santiago","Bryan Giles",1458232488,2,1,4908655,Url,14205,546874.5,38.498732840549,22149,0.64133820939997,0.47064413938754,3,6.5125264148947,24.428440689898
0_pdf62gny,"Todo comenzó por el fin","Bryan Giles",1516745200,2,1,12454724,Url,13975,1020310.6333333,73.009705426357,21997,0.63531390644179,0.35175313059034,2,5.5174946358737,12.241574239714
0_1ev2zeqq,"Gente de bien","Bryan Giles",1533251705,2,1,5176913,Url,9438,352377.76666667,37.336063431518,16912,0.55806527909177,0.43279826234372,3,5.2589696568536,28.346047891502
0_bnsyhzup,"Todos Somos Los Nadie","Bryan Giles",1543444370,2,1,5050642,Url,7299,305199.48333333,41.813876330091,10933,0.66761181743346,0.49684888340869,3,5.0612606728539,44.694889710919
0_5rlzqoaf,Migrante,"Bryan Giles",1576191918,2,1,338000,Url,7090,26538.766666667,3.7431264692055,9997,0.70921276382915,0.66502115655853,2,5.058004610315,71.940902679831
1_s6sntdko,"Rodrigo D. No futuro","Yenny Alexandra Chaverra",1583983699,2,1,5525375,Upload,9787,385974.81666667,39.437500425735,15216,0.64320452155626,0.42832328599162,2,5.0109968755881,39.475426586288
0_xzow26gz,Nadia,"Bryan Giles",1569085971,2,1,864000,Url,5199,44136,8.4893248701673,9446,0.55039170019056,0.58953644931718,3,4.9284201189871,63.196191575303
1_5zvqqteh,"Tierra Caliente","Bryan Giles",1559939572,2,1,1304000,Url,5284,65531.433333333,12.401860963916,8983,0.58822219748414,0.57063777441332,3,4.8338741734051,58.450416351249
1_4tax122f,"Chiribiquete, videografía de expedición al centro del mundo","Bryan Giles",1567205955,2,1,4901594,Url,6725,249208.86666667,37.057080545229,10372,0.64838025453143,0.45371747211896,3,4.8325285806347,42.055018587361
0_t6jbfbug,"Cóndores no entierran todos los días","CCD Dimtec",1583254152,2,1,5355033,Url,6639,262109.96666667,39.480338404378,10403,0.63818129385754,0.44238590149119,3,4.7669233012763,40.406085253803
1_6r94x0pz,"Soy tan feliz","Bryan Giles",1559939656,2,1,882000,Url,5232,40148.816666667,7.6737034913354,8856,0.59078590785908,0.52231460244648,3,4.7647997094316,56.277140672783
0_bw5jwyvt,"Un 9 de abril...","Bryan Giles",1554404361,2,1,883000,Url,4635,40347.416666667,8.704944264653,7470,0.62048192771084,0.59169363538296,3,4.7485288255845,62.396548004315
0_i4u8b7af,"M.A.M.O.N. (Monitor Against Mexicans Over Nationwide)","Bryan Giles",1573593256,2,1,355000,Url,3216,12091.883333333,3.7599139718076,5313,0.60530773574252,0.63611629353234,3,4.4714653793389,67.406094527363
0_twb26c55,"Niños caminantes del Chocó","Bryan Giles",1494004486,2,1,1476000,Url,6009,83972.1,13.974388417374,9810,0.61253822629969,0.56806456981195,2,4.3874591400088,57.378099517391
0_osmpkjfv,"Eso que llaman amor","Bryan Giles",1516745247,2,1,5493402,Url,6878,274518.13333333,39.912493942037,12064,0.57012599469496,0.4360279150916,3,4.3789174754902,22.175487060192
0_6reonruc,"Esos lugares existen","Bryan Giles",1573593351,2,1,285000,Url,2173,7259.8333333333,3.3409265224728,3245,0.66964560862866,0.70398067188219,3,4.3380684750397,73.89829728486
0_uhbadiw1,Variaciones,"Bryan Giles",1557936470,2,1,434000,Url,2613,12022.283333333,4.6009503763235,4401,0.59372869802318,0.63681592039801,3,4.3036165029951,67.530424799082
1_gz822fy7,"La Última Trinchera","Yenny Alexandra Chaverra",1581620668,2,1,1072000,Upload,4702,56592.666666667,12.035871260457,7873,0.59723104280452,0.67364951084645,2,4.2843665370064,68.076350489154
1_p9187pss,"Niñas de Uchituu","Bryan Giles",1564414362,2,1,1680000,Url,3185,48559,15.246153846154,5675,0.56123348017621,0.54450549450549,3,4.2030814749908,57.022291993721
0_e4m0vnh1,"Los Retratos","Bryan Giles",1484863456,2,1,834000,,2109,18913.05,8.9677809388336,3579,0.58927074601844,0.63821716453295,3,4.1639907580597,67.66097676624
0_ecxj5pl2,Betty,"Bryan Giles",1551213364,2,1,320000,Url,1510,5390.6666666667,3.5699779249448,2545,0.59332023575639,0.66937086092715,3,4.1613684153308,74.349006622517
0_r10vgii4,Pariente,"Bryan Giles",1533251842,2,1,6941861,Url,5534,276456.76666667,49.956047464161,10453,0.52941739213623,0.4318756776292,3,4.1488086451468,28.212685218648
0_uqhm936r,anonimata,"Bryan Giles",1484849704,2,1,983000,,3471,33357.416666667,9.6103188322289,6119,0.56724955058016,0.5867905502737,3,4.1336155237479,51.000288101412
1_8qy1pkvu,"Mr. Blue Footed Booby","Yenny Alexandra Chaverra",1583430406,2,1,139000,Upload,2875,5065.5833333333,1.7619420289855,4583,0.62731835042549,0.7615652173913,2,4.0980657860589,81.343304347826
0_koesi0oq,Naranjas,"Bryan Giles",1484863457,2,1,866000,,1435,14006.233333333,9.7604413472706,2393,0.5996656916005,0.67648083623693,3,4.0645332348554,71.326132404181
0_ju1w5v2q,Anina,"Bryan Giles",1573607776,2,1,4694030,Url,4091,132063.38333333,32.28144300497,6609,0.61900438795582,0.41267416279638,3,4.0514225405222,40.681495966756
1_32j7svnm,Quehuaya,"Bryan Giles",1565130085,2,1,1160000,Url,3504,29290,8.3590182648402,5704,0.61430575035063,0.43236301369863,3,4.0447193212064,47.070205479452
0_71cbtxc2,"Conversaciones I","CCD Dimtec",1583254186,2,1,384000,Url,1053,4736,4.4976258309592,2004,0.52544910179641,0.70275403608737,3,4.0297026542882,74.264957264957
1_48glrd24,"El baño del papa","Yenny Alexandra Chaverra",1583356035,2,1,5915500,Upload,6862,237368.61666667,34.591754104731,11944,0.57451440053583,0.35091809967939,2,3.9903166154191,31.819003206062
0_n9hc2vie,"Sin título. Tercer movimiento","Bryan Giles",1551212937,2,1,794000,Url,2064,15285.466666667,7.4057493540052,3190,0.64702194357367,0.55983527131783,3,3.9584971035834,59.951550387597
0_6brbwzkf,"El Edén","CCD Dimtec",1583254131,2,1,1178000,Url,2023,22865.083333333,11.302562201351,3600,0.56194444444444,0.57587740978744,3,3.9496538441942,60.062778052397
