"# ------------------------------------"
"Report: Top Domains"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-03-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
object_id,domain_name,count_plays,sum_time_viewed,avg_time_viewed,count_loads,load_play_ratio,avg_view_drop_off,avg_completion_rate
www.retinalatina.org,www.retinalatina.org,673218,15727427.45,23.361567055545,1226926,0.54870301876397,0.47854261175429,31.292605069977
Unknown,Unknown,24264,383484.43333333,15.804666721618,27300,0.88879120879121,0.33511580942961,30.382624464227
retinalatina.org,retinalatina.org,17562,355781.2,20.258581027218,31256,0.561876119785,0.4193571347227,0.25167976312493
cdnapisec.kaltura.com,cdnapisec.kaltura.com,1956,68010.733333333,34.770313565099,2306,0.84822202948829,0.53003578732106,49.644683026585
www.kaltura.com,www.kaltura.com,980,16528.1,16.865408163265,1438,0.68150208623088,0.41020408163265,5.9612244897959
kmc.kaltura.com,kmc.kaltura.com,718,13620.15,18.969568245125,3050,0.23540983606557,0.47736768802228,18.608635097493
localhost,localhost,83,103.56666666667,1.2477911646586,1562,0.053137003841229,0.048192771084337,2.5542168674699
app.dev,app.dev,67,551.28333333333,8.2281094527363,77,0.87012987012987,0.20149253731343,1.3432835820896
cdnapi.kaltura.com,cdnapi.kaltura.com,57,731.08333333333,12.826023391813,80,0.7125,0.37280701754386,0
192.168.1.121,192.168.1.121,13,18.083333333333,1.3910256410256,1131,0.011494252873563,0.057692307692308,0
kaltura.github.io,kaltura.github.io,6,0,0,15,0.4,0,0
104.236.130.25,104.236.130.25,5,95.233333333333,19.046666666667,144,0.034722222222222,0.2,0
openloadhd3.blogspot.com.co,openloadhd3.blogspot.com.co,5,0,0,24,0.20833333333333,0,0
catchvideo.net,catchvideo.net,4,0,0,9,0.44444444444444,0,0
cinemacortos.blogspot.com.co,cinemacortos.blogspot.com.co,4,0,0,4,1,0,0
retinastag.wpengine.com,retinastag.wpengine.com,4,26.75,6.6875,313,0.012779552715655,0.25,0.5
www.facebook.com,www.facebook.com,3,0,0,45,0.066666666666667,0,0
client.videograbber.net,client.videograbber.net,2,0,0,2,1,0,0
relax.test,relax.test,2,0,0,275,0.0072727272727273,0,0
reti.na,reti.na,2,0,0,226,0.0088495575221239,0,0
retinalatina.wpengine.com,retinalatina.wpengine.com,2,0,0,9,0.22222222222222,0,0
cine69.com,cine69.com,1,0,0,4,0.25,0,0
