"# ------------------------------------"
"Report: Metrics over time"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-03-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
date_id,count_plays,sum_time_viewed,unique_known_users,avg_view_drop_off,avg_completion_rate,count_loads
20200731,9,161.66666666667,1,0.38888888888889,47.222222222222,15
20200730,84,1466.2833333333,1,0.42857142857143,42,139
20200729,138,3748.2333333333,1,0.48188405797101,48.326086956522,276
20200728,591,13444.566666667,1,0.51480541455161,51.098138747885,1012
20200727,582,13722.816666667,1,0.55455326460481,57.010309278351,961
20200726,826,21236.766666667,1,0.55841404358354,53.767554479419,1423
20200725,820,21320.333333333,1,0.53810975609756,53.982926829268,1361
20200724,763,15348.35,1,0.49672346002621,48.495412844037,1344
20200723,724,17106.466666667,1,0.56526243093923,55.092541436464,1319
20200722,713,13489.716666667,1,0.5,51.454417952314,1200
20200721,694,16281.966666667,1,0.55007204610951,53.976945244957,1264
20200720,708,17648.533333333,1,0.52577683615819,51.929378531073,1224
20200719,910,23495,1,0.52197802197802,52.915384615385,1466
20200718,845,17657.816666667,1,0.48550295857988,50.994082840237,1496
20200717,664,15108.366666667,1,0.51543674698795,52.746987951807,1108
20200716,571,14327.733333333,1,0.50306479859895,50.119089316988,1015
20200715,667,12838.8,2,0.50562218890555,50.925037481259,1174
20200714,672,14676.966666667,1,0.52418154761905,50.91369047619,1180
20200713,664,14844.083333333,1,0.54856927710843,56.072289156627,1117
20200712,797,18292.75,1,0.55426599749059,57.554579673777,1341
20200711,912,21887.033333333,1,0.5671600877193,58.504385964912,1570
20200710,715,15198.816666667,1,0.5027972027972,53.206993006993,1216
20200709,641,12940.55,1,0.548751950078,56.207488299532,1142
20200708,673,13823.683333333,1,0.56277860326895,55.646359583952,1223
20200707,780,14054.116666667,2,0.56442307692308,57.721794871795,1362
20200706,730,14590.666666667,1,0.54246575342466,56.247945205479,1321
20200705,968,18623.9,1,0.58032024793388,61.511363636364,1640
20200704,992,18681.75,1,0.60181451612903,61.286290322581,1622
20200703,826,12990.366666667,1,0.54176755447942,57.278450363196,1382
20200702,787,11378.633333333,1,0.54447268106734,56.035578144854,1264
20200701,766,10702.316666667,1,0.56527415143603,58.323759791123,1302
20200630,862,14198.15,1,0.57192575406032,56.998839907193,1460
20200629,978,16961.683333333,1,0.58895705521472,60.252556237219,1732
20200628,1129,21823.25,1,0.56753764393268,58.40124003543,1926
20200627,967,18071.3,1,0.56902792140641,58.055842812823,1668
20200626,1086,20197.616666667,1,0.5658379373849,56.755985267035,1827
20200625,1270,27837.35,2,0.54507874015748,54.941732283465,2420
20200624,1319,26201.466666667,1,0.51288855193328,52.569370735406,2416
20200623,1649,30646.2,2,0.53320194057004,53.423286840509,3208
20200622,1250,27566.916666667,1,0.544,54.628,2414
20200621,1175,26829.983333333,1,0.55063829787234,58.617021276596,2321
20200620,1344,30038.2,1,0.54501488095238,55.916666666667,2523
20200619,1066,21027.4,1,0.55347091932458,56.508442776735,2164
20200618,1015,21858.95,2,0.52857142857143,50.817733990148,2148
20200617,990,17380.816666667,2,0.59469696969697,59.813131313131,1754
20200616,995,17957.133333333,2,0.59095477386935,60.937688442211,1694
20200615,1357,23828.55,1,0.58511422254974,58.369196757553,2316
20200614,1502,27247.4,1,0.60835552596538,64.814913448735,2362
20200613,1130,22961.516666667,1,0.55641592920354,57.996460176991,1922
20200612,1088,22240.233333333,2,0.54159007352941,55.392463235294,1990
20200611,938,16760.85,1,0.54690831556503,55.231343283582,1675
20200610,950,17588.833333333,1,0.50894736842105,53.303157894737,1740
20200609,945,20084.25,1,0.53994708994709,55.015873015873,1630
20200608,927,19263.383333333,2,0.54449838187702,55.628910463862,1610
20200607,1324,32546.85,1,0.55947885196375,56.603474320242,2285
20200606,1209,30406.016666667,1,0.53453267162945,54.09511993383,2068
20200605,872,19126.483333333,1,0.52608944954128,53.942660550459,1639
20200604,792,16517.366666667,2,0.53630050505051,54.950757575758,1508
20200603,964,21171.6,2,0.52671161825726,51.032157676349,1676
20200602,926,18567.833333333,1,0.51565874730022,52.128509719222,1618
20200601,897,18479.266666667,1,0.53874024526198,54.502787068004,1698
20200531,1295,33380.966666667,1,0.53050193050193,53.52972972973,2299
20200530,1414,33623.233333333,2,0.51626591230552,52.963224893918,2585
20200529,1193,29369.466666667,2,0.50943000838223,51.33948030176,2214
20200528,1148,28064.15,1,0.52025261324042,50.710801393728,2029
20200527,1297,27039.783333333,1,0.48631457208944,48.344641480339,2259
20200526,1203,24735.35,2,0.50561097256858,51.176226101413,2272
20200525,1477,35751.55,1,0.5260663507109,53.400135409614,2639
20200524,2042,52734.966666667,1,0.5559500489716,57.138099902057,3455
20200523,1822,41825.316666667,1,0.49396267837541,51.30296377607,3251
20200522,1362,31151.833333333,1,0.51395007342144,50.545521292217,2379
20200521,1443,30636,1,0.50363825363825,50.610533610534,2540
20200520,1443,27628,1,0.50970200970201,50.260568260568,2485
20200519,1292,27902.6,2,0.52147832817337,52.532507739938,2405
20200518,1227,25642.166666667,2,0.5018337408313,50.637326813366,2312
20200517,1830,46630.55,1,0.51666666666667,52.356830601093,3138
20200516,1760,43771.05,1,0.52826704545455,52.797727272727,3073
20200515,1747,38934.916666667,2,0.50829994275902,51.543789353177,3063
20200514,1930,44778.633333333,2,0.50751295336788,49.889119170984,3542
20200513,2315,44615.566666667,2,0.44665226781857,43.076889848812,4102
20200512,1686,35358.7,1,0.50563463819692,49.856465005931,3012
20200511,1263,30946.066666667,1,0.49960411718131,48.812351543943,2224
20200510,1303,33763.05,1,0.52551803530315,53.457405986186,2280
20200509,1369,32317.933333333,1,0.51260043827611,51.084002921841,2540
20200508,1215,28011.083333333,2,0.50123456790123,49.683127572016,2219
20200507,1191,24466.833333333,1,0.50923593618808,49.966414777498,2123
20200506,1113,25575.55,2,0.52066486972147,51.253369272237,2085
20200505,1388,36992.55,1,0.52089337175793,50.818443804035,2460
20200504,1341,32417.566666667,1,0.52684563758389,52.262490678598,2546
20200503,1947,53372.416666667,1,0.52401129943503,52.171545968156,3501
20200502,2013,49939.733333333,1,0.51465474416294,52.298062593145,3862
20200501,2162,57042.85,1,0.5141073080481,51.495374653099,3925
20200430,1984,50961.2,1,0.47227822580645,48.528225806452,3544
20200429,2031,54239.116666667,2,0.51255539143279,51.081733136386,3560
20200428,2029,58701.766666667,1,0.51946771808773,50.429768358797,3594
20200427,2975,84343.533333333,2,0.47521008403361,45.368067226891,5278
20200426,3202,97502.95,1,0.49984384759525,50.028732042473,5562
20200425,2274,61164.216666667,1,0.50978452066843,51.708443271768,3982
20200424,1724,42541.133333333,2,0.4860788863109,48.258700696056,3211
20200423,1709,43816.3,1,0.5174078408426,50.369806904623,3097
20200422,1918,54605.4,1,0.51538060479666,51.842022940563,3547
20200421,2004,51491,1,0.48365768463074,49.340319361277,3720
20200420,1845,48901.583333333,1,0.4979674796748,49.713279132791,3436
20200419,2294,66239.716666667,1,0.53411072362685,53.532693984307,4176
20200418,2282,64960.25,1,0.52114373356705,51.858895705521,4251
20200417,2132,56506.05,2,0.49882739212008,47.987335834897,3995
20200416,1973,57678.966666667,1,0.50088697415104,48.754181449569,3882
20200415,2273,63114.716666667,1,0.47195336559613,47.559612846458,4277
20200414,2389,61990.85,1,0.48189619087484,48.425282544998,4397
20200413,2098,57484.833333333,1,0.4952335557674,49.488560533842,3990
20200412,2642,78711.933333333,1,0.52668433005299,52.221423164269,4792
20200411,3050,88208.783333333,1,0.51885245901639,51.275409836066,5593
20200410,4178,125861.66666667,1,0.49401627573001,47.470320727621,6841
20200409,4011,122618.33333333,1,0.5143355771628,51.079780603341,7097
20200408,3561,104359.9,1,0.49171581016568,50.069362538613,6348
20200407,2941,77941.6,1,0.48384903094186,48.049302958177,5517
20200406,3132,90500.483333333,1,0.54597701149425,55.561941251596,5977
20200405,10112,345949.66666667,1,0.48014734968354,48.443235759494,15989
20200404,3584,83641.983333333,2,0.46742466517857,46.490792410714,6140
20200403,2683,63631.75,2,0.48956392098397,48.48937756243,4798
20200402,2615,63604.366666667,2,0.4857552581262,49.08413001912,4817
20200401,2885,66788.783333333,1,0.49965337954939,50.233275563258,5051
20200331,3274,73414.966666667,1,0.4715180207697,46.149664019548,5628
20200330,3222,77582.366666667,2,0.47928305400372,47.045313469894,5632
20200329,3833,104195.25,1,0.51571875815288,51.591964518654,6654
20200328,4530,111552.61666667,1,0.45739514348786,44.97770419426,7820
20200327,3727,95367.066666667,2,0.48638314998658,47.608532331634,6563
20200326,4211,96585.783333333,2,0.43154832581335,41.64284018048,7176
20200325,4378,103202.21666667,2,0.45386021014162,44.732754682503,7537
20200324,4299,105804.06666667,2,0.46528262386602,45.806001395673,7278
20200323,7486,172987.31666667,1,0.43594710125568,41.868153887256,12024
20200322,7958,166487.51666667,2,0.39749308871576,38.930133199296,12703
20200321,5776,130928.91666667,1,0.45723684210526,45.666897506925,10130
20200320,4768,101804.45,2,0.43985947986577,43.13255033557,8281
20200319,3086,74454.716666667,1,0.46313998703824,45.883020090732,5772
20200318,2799,71918.833333333,1,0.45525187566988,45.279028224366,5157
20200317,2904,71882.4,1,0.4375,43.197314049587,5477
20200316,1908,44408.6,2,0.43383123689727,43.046121593291,3581
20200315,1162,30602.533333333,1,0.47654905335628,48.022375215146,2196
20200314,703,17480.216666667,1,0.46301564722617,47.096728307255,1234
20200313,421,11213.233333333,1,0.45902612826603,45.235154394299,748
20200312,411,10572.15,1,0.47384428223844,46.396593673966,820
20200311,328,7322.5,1,0.44893292682927,44.521341463415,563
20200310,369,8776.7333333333,2,0.40514905149051,39.953929539295,691
20200309,320,7372.6666666667,1,0.4921875,46.184375,611
20200308,433,11716.133333333,1,0.54041570438799,52.593533487298,717
20200307,357,8254.7,1,0.51540616246499,51.610644257703,622
20200306,312,7461.9166666667,1,0.56730769230769,57.032051282051,531
20200305,335,7430.85,2,0.48880597014925,44.835820895522,598
20200304,278,6012.3833333333,1,0.42086330935252,42.456834532374,465
20200303,261,5046.7166666667,2,0.43199233716475,41.536398467433,553
20200302,305,7066.2833333333,1,0.48032786885246,46.980327868852,579
20200301,429,11041.45,1,0.48601398601399,45.277389277389,766
20200229,326,8032.5,1,0.47929447852761,47.794478527607,606
20200228,316,7250.5,2,0.49287974683544,48.151898734177,621
20200227,384,7963.5833333333,1,0.43033854166667,40.96875,606
20200226,284,5704.65,1,0.48767605633803,46.93661971831,580
20200225,384,6406.8,1,0.50325520833333,51.825520833333,737
20200224,440,7350.8166666667,2,0.49147727272727,46.386363636364,865
20200223,439,9739.4,1,0.50170842824601,48.715261958998,833
20200222,307,7892.4,1,0.5114006514658,48.739413680782,677
20200221,299,5084.5666666667,1,0.41555183946488,41.719063545151,700
20200220,260,4392.2833333333,1,0.48461538461538,51.676923076923,524
20200219,334,5709.4,1,0.42440119760479,38.760479041916,650
20200218,265,5103.8833333333,1,0.48584905660377,50.430188679245,493
20200217,321,6516.3666666667,1,0.51168224299065,53.700934579439,601
20200216,509,9684.9666666667,2,0.50392927308448,48.296660117878,957
20200215,317,5939.8833333333,1,0.47082018927445,45.83596214511,554
20200214,294,6242.0333333333,1,0.56207482993197,56.5,635
20200213,291,6622.7666666667,2,0.41408934707904,37.343642611684,619
20200212,347,9340.7,1,0.43371757925072,38.449567723343,581
20200211,236,4872.0333333333,1,0.47563559322034,45.669491525424,485
20200210,284,6615.8,1,0.49471830985915,46.366197183099,506
20200209,290,6994.1166666667,1,0.45689655172414,44.010344827586,562
20200208,288,6855.65,1,0.47135416666667,48.756944444444,586
20200207,278,5014.9166666667,1,0.42625899280576,41.068345323741,549
20200206,281,5236.85,1,0.43416370106762,43.900355871886,506
20200205,281,6104.0333333333,1,0.5008896797153,45.487544483986,499
20200204,326,7065.25,1,0.5069018404908,49.825153374233,681
20200203,263,5458.0833333333,1,0.43726235741445,42.292775665399,519
20200202,325,7453.9333333333,1,0.49230769230769,49.581538461538,729
20200201,326,7538.75,1,0.44708588957055,43.288343558282,623
20200131,348,6433.4333333333,1,0.41954022988506,41.497126436782,740
20200130,354,7919.5166666667,1,0.48940677966102,48.389830508475,737
20200129,361,8113.7666666667,2,0.48961218836565,47.468144044321,626
20200128,384,8528.5,2,0.54752604166667,53.7890625,724
20200127,358,9215.3166666667,1,0.50418994413408,49.494413407821,751
20200126,494,16163.05,1,0.55161943319838,55.902834008097,1051
20200125,435,9323.8166666667,1,0.52931034482759,55.56091954023,809
20200124,357,9217.1333333333,2,0.47408963585434,44.809523809524,579
20200123,317,8060.9333333333,1,0.48107255520505,46.066246056782,569
20200122,298,6571.5,1,0.46476510067114,47.315436241611,616
20200121,312,6053.5833333333,2,0.45112179487179,46.310897435897,631
20200120,321,6089.4,3,0.47274143302181,46.613707165109,652
20200119,408,8413.3166666667,1,0.5140931372549,53.725490196078,738
20200118,310,6435.3333333333,1,0.525,52.645161290323,594
