"# ------------------------------------"
"Report: Top Domains"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_6yiftnsa"
"# ------------------------------------"
object_id,domain_name,count_plays,sum_time_viewed,avg_time_viewed,count_loads,load_play_ratio,avg_view_drop_off,avg_completion_rate
www.retinalatina.org,www.retinalatina.org,6049,236652.96666667,39.122659392737,9696,0.62386551155116,0.42048272441726,16.305505042156
retinalatina.org,retinalatina.org,496,15608.1,31.467943548387,878,0.56492027334852,0.33820564516129,0
Unknown,Unknown,199,4628.65,23.259547738693,210,0.94761904761905,0.25,16.467336683417
cdnapi.kaltura.com,cdnapi.kaltura.com,2,94.3,47.15,2,1,0.875,0
cdnapisec.kaltura.com,cdnapisec.kaltura.com,1,0,0,2,0.5,0,0
openloadhd3.blogspot.com.co,openloadhd3.blogspot.com.co,1,0,0,2,0.5,0,0
www.kaltura.com,www.kaltura.com,1,0,0,2,0.5,0,0
kmc.kaltura.com,kmc.kaltura.com,0,0,0,6,0,0,0
retinastag.wpengine.com,retinastag.wpengine.com,0,0,0,6,0,0,0

