"# ------------------------------------"
"Report: Top Domains"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_66zuty5i"
"# ------------------------------------"
object_id,domain_name,count_plays,sum_time_viewed,avg_time_viewed,count_loads,load_play_ratio,avg_view_drop_off,avg_completion_rate
www.retinalatina.org,www.retinalatina.org,5340,177419.13333333,33.224556803995,9748,0.54780467788264,0.36807116104869,10.655992509363
retinalatina.org,retinalatina.org,709,19520.183333333,27.53199341796,1325,0.53509433962264,0.30500705218618,0
Unknown,Unknown,14,315.93333333333,22.566666666667,22,0.63636363636364,0.25,0
cdnapisec.kaltura.com,cdnapisec.kaltura.com,4,67.7,16.925,6,0.66666666666667,0.1875,0
192.168.1.100,192.168.1.100,0,0,0,1,0,0,0
kmc.kaltura.com,kmc.kaltura.com,0,0,0,2,0,0,0
reti.na,reti.na,0,0,0,2,0,0,0
retinastag.wpengine.com,retinastag.wpengine.com,0,0,0,4,0,0,0
www.google.com,www.google.com,0,0,0,2,0,0,0
www.kaltura.com,www.kaltura.com,0,0,0,2,0,0,0

