"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-06-07 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_5zvqqteh"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190607,1,16.3,16.3,2,2,0.75,8,0
20190608,0,0,0,0,0,0,0,0
20190609,0,0,0,0,0,0,0,0
20190610,0,0,0,0,0,0,0,0
20190611,0,0,0,0,0,0,0,0
20190612,0,0,0,0,0,0,0,0
20190613,0,0,0,0,0,0,0,0
20190614,0,0,0,0,0,0,0,0
20190615,0,0,0,0,0,0,0,0
20190616,0,0,0,0,0,0,0,0
20190617,0,0,0,0,0,0,0,0
20190618,0,0,0,0,0,0,0,0
20190619,0,0,0,0,0,0,0,0
20190620,0,0,0,0,0,0,0,0
20190621,0,0,0,0,0,0,0,0
20190622,0,0,0,0,0,0,0,0
20190623,0,0,0,0,0,0,0,0
20190624,0,0,0,0,0,0,0,0
20190625,0,0,0,0,0,0,0,0
20190626,0,0,0,5,2,0,0,0
20190627,73,880.2,12.057534246575,116,3,0.55479452054795,49.315068493151,0
20190628,61,842.16666666667,13.806010928962,98,2,0.63524590163934,64.803278688525,0
20190629,42,635.7,15.135714285714,67,1,0.69642857142857,75.52380952381,0
20190630,50,613.96666666667,12.279333333333,82,1,0.565,64.76,0
20190701,51,635.7,12.464705882353,88,1,0.57352941176471,62.549019607843,0
20190702,30,396.63333333333,13.221111111111,52,1,0.60833333333333,62.633333333333,0
20190703,38,445.53333333333,11.724561403509,60,1,0.53947368421053,51.236842105263,0
20190704,30,315.13333333333,10.504444444444,47,1,0.48333333333333,53.233333333333,0
20190705,23,315.13333333333,13.701449275362,34,1,0.6304347826087,66.695652173913,0
20190706,25,407.5,16.3,41,1,0.75,75.56,0
20190707,40,543.33333333333,13.583333333333,73,1,0.625,66.325,0
20190708,23,293.4,12.75652173913,39,1,0.58695652173913,64.086956521739,0
20190709,25,347.73333333333,13.909333333333,39,1,0.64,71.6,0
20190710,18,222.76666666667,12.375925925926,31,1,0.56944444444444,57.555555555556,0
20190711,19,266.23333333333,14.012280701754,38,1,0.64473684210526,62.736842105263,0
20190712,17,244.5,14.382352941176,38,1,0.66176470588235,70.294117647059,0
20190713,26,336.86666666667,12.95641025641,43,1,0.59615384615385,69.230769230769,0
20190714,39,472.7,12.120512820513,61,1,0.55769230769231,64.076923076923,0
20190715,20,282.53333333333,14.126666666667,36,1,0.65,72.45,0
20190716,14,65.2,4.6571428571429,28,1,0.21428571428571,28.428571428571,0
20190717,18,222.76666666667,12.375925925926,24,1,0.56944444444444,61,0
20190718,12,97.8,8.15,21,1,0.375,35.166666666667,0
20190719,23,184.73333333333,8.031884057971,28,1,0.3695652173913,40.739130434783,0
20190720,20,266.23333333333,13.311666666667,35,1,0.6125,63.4,0
20190721,30,347.73333333333,11.591111111111,47,1,0.53333333333333,58.6,0
20190722,20,217.33333333333,10.866666666667,33,1,0.5,50.8,0
20190723,11,103.23333333333,9.3848484848485,21,1,0.43181818181818,44.090909090909,0
20190724,12,163,13.583333333333,26,1,0.625,66.166666666667,0
20190725,10,141.26666666667,14.126666666667,14,1,0.65,59.6,0
20190726,17,249.93333333333,14.701960784314,22,1,0.67647058823529,60.529411764706,0
20190727,15,184.73333333333,12.315555555556,32,1,0.56666666666667,65.2,0
20190728,23,228.2,9.9217391304348,35,1,0.45652173913043,56.260869565217,0
20190729,20,255.36666666667,12.768333333333,37,1,0.5875,59,0
20190730,8,119.53333333333,14.941666666667,21,1,0.6875,73.375,0
20190731,22,320.56666666667,14.571212121212,36,1,0.67045454545455,73.090909090909,0
20190801,18,201.03333333333,11.168518518519,37,1,0.51388888888889,50.777777777778,0
20190802,15,146.7,9.78,38,1,0.45,47.666666666667,0
20190803,24,239.06666666667,9.9611111111111,41,1,0.45833333333333,48.541666666667,0
20190804,25,353.16666666667,14.126666666667,52,1,0.65,68.24,0
20190805,25,190.16666666667,7.6066666666667,43,1,0.35,39.56,0
20190806,19,206.46666666667,10.866666666667,32,1,0.5,47.736842105263,0
20190807,60,711.76666666667,11.862777777778,84,1,0.54583333333333,52.433333333333,0
20190808,24,315.13333333333,13.130555555556,55,1,0.60416666666667,58.083333333333,0
20190809,39,440.1,11.284615384615,59,1,0.51923076923077,57.230769230769,0
20190810,40,489,12.225,63,1,0.5625,56.7,0
20190811,43,537.9,12.509302325581,63,1,0.57558139534884,61,0
20190812,36,402.06666666667,11.168518518519,55,1,0.51388888888889,56.444444444444,0
20190813,21,217.33333333333,10.349206349206,36,1,0.47619047619048,50.809523809524,0
20190814,22,277.1,12.595454545455,35,1,0.57954545454545,46.681818181818,0
20190815,24,298.83333333333,12.451388888889,37,1,0.57291666666667,62.291666666667,0
20190816,19,239.06666666667,12.582456140351,29,1,0.57894736842105,57.315789473684,0
20190817,17,195.6,11.505882352941,27,1,0.52941176470588,43.882352941176,0
